group_ann	original	description	in.heating_fuel	in.hvac_combined_type	upgrade	shape_ts_cooling	shape_ts_heating	version
com_hvac_ann_1	ashp	ashp	Electricity	DOAS+Zone terminal equipment_ASHP_ASHP	0	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_1	ashp	ashp	Electricity	DOAS+Zone terminal equipment_WSHP_WSHP	0	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_1	ashp	ashp	Electricity	Central Single-zone RTU_ASHP_ASHP	0	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_1	ashp	ashp	Electricity	Zone terminal equipment_ASHP_ASHP	0	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	DistrictHeating	Central Single-zone RTU_District_DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	NaturalGas	Central Single-zone RTU_Boiler _Evaporative Cooling	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	NaturalGas	Central Single-zone RTU_Boiler _DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	NaturalGas	Zone terminal equipment_Boiler _DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_10	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Electric Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _DX	8	com_cooling_ts_4	com_heating_ts_4	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	DistrictHeating	Central Single-zone RTU_District_DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	DistrictHeating	Central Multi-zone VAV RTU_District_DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	NaturalGas	Central Single-zone RTU_Boiler _Evaporative Cooling	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	NaturalGas	Central Single-zone RTU_Boiler _DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	NaturalGas	Zone terminal equipment_Boiler _DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_11	ng boiler+rtac	"ng boiler+rtac to HP Boiler, Gas Backup"	NaturalGas	Central Multi-zone VAV RTU_Boiler _DX	9	com_cooling_ts_4	com_heating_ts_5	7/29/24
com_hvac_ann_12	ng furnace+cac&rac	ng furnace+cac&rac	NaturalGas	Residential forced air_Furnace_DX	0	com_cooling_ts_7	com_heating_ts_8	7/29/24
com_hvac_ann_12	ng furnace+cac&rac	ng furnace+cac&rac	NaturalGas	Residential forced air_Furnace_None	0	com_cooling_ts_7	com_heating_ts_8	7/29/24
com_hvac_ann_13	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Electric Backup"	NaturalGas	Residential forced air_Furnace_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_13	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Electric Backup"	NaturalGas	Residential forced air_Furnace_None	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_14	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	NaturalGas	Residential forced air_Furnace_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_14	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	NaturalGas	Residential forced air_Furnace_None	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_15	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Original Heating Fuel Backup"	NaturalGas	Residential forced air_Furnace_DX	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_15	ng furnace+cac&rac	"ng furnace+cac&rac to Variable Speed HP RTU, Original Heating Fuel Backup"	NaturalGas	Residential forced air_Furnace_None	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	Electricity	Central Multi-zone VAV RTU_Furnace_DX	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	NaturalGas	Central Single-zone RTU_Furnace_Evaporative Cooling	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	NaturalGas	Zone terminal equipment_Furnace_None	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	NaturalGas	Central Single-zone RTU_Furnace_DX	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_16	ng furnace+rtac	ng furnace+rtac	NaturalGas	Zone terminal equipment_Furnace_DX	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
