shape_ts	description	in.heating_fuel	in.hvac_heating_type	applicability	upgrade	shape_end_use	version
com_heating_ts_1	"Variable Speed HP RTU, Electric Backup"	DistrictHeating	District	TRUE	1	heating	7/29/24
com_heating_ts_1	"Variable Speed HP RTU, Electric Backup"	Electricity	Electric Resistance	TRUE	1	heating	7/29/24
com_heating_ts_1	"Variable Speed HP RTU, Electric Backup"	Electricity	ASHP	TRUE	1	heating	7/29/24
com_heating_ts_1	"Variable Speed HP RTU, Electric Backup"	Electricity	WSHP	TRUE	1	heating	7/29/24
com_heating_ts_1	"Variable Speed HP RTU, Electric Backup"	Electricity	GSHP	TRUE	1	heating	7/29/24
com_heating_ts_1	"Variable Speed HP RTU, Electric Backup"	Electricity	Furnace	TRUE	1	heating	7/29/24
com_heating_ts_1	"Variable Speed HP RTU, Electric Backup"	FuelOil	Furnace	TRUE	1	heating	7/29/24
com_heating_ts_1	"Variable Speed HP RTU, Electric Backup"	NaturalGas	Furnace	TRUE	1	heating	7/29/24
com_heating_ts_1	"Variable Speed HP RTU, Electric Backup"	Propane	Furnace	TRUE	1	heating	7/29/24
com_heating_ts_2	"Variable Speed HP RTU, Original Heating Fuel Backup"	DistrictHeating	District	TRUE	2	heating	7/29/24
com_heating_ts_2	"Variable Speed HP RTU, Original Heating Fuel Backup"	Electricity	Furnace	TRUE	2	heating	7/29/24
com_heating_ts_2	"Variable Speed HP RTU, Original Heating Fuel Backup"	FuelOil	Furnace	TRUE	2	heating	7/29/24
com_heating_ts_2	"Variable Speed HP RTU, Original Heating Fuel Backup"	NaturalGas	Furnace	TRUE	2	heating	7/29/24
com_heating_ts_2	"Variable Speed HP RTU, Original Heating Fuel Backup"	Propane	Furnace	TRUE	2	heating	7/29/24
com_heating_ts_3	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	DistrictHeating	District	TRUE	3	heating	7/29/24
com_heating_ts_3	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Electric Resistance	TRUE	3	heating	7/29/24
com_heating_ts_3	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	ASHP	TRUE	3	heating	7/29/24
com_heating_ts_3	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	WSHP	TRUE	3	heating	7/29/24
com_heating_ts_3	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	GSHP	TRUE	3	heating	7/29/24
com_heating_ts_3	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Furnace	TRUE	3	heating	7/29/24
com_heating_ts_3	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	FuelOil	Furnace	TRUE	3	heating	7/29/24
com_heating_ts_3	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	NaturalGas	Furnace	TRUE	3	heating	7/29/24
com_heating_ts_3	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	Propane	Furnace	TRUE	3	heating	7/29/24
com_heating_ts_4	"HP Boiler, Electric Backup"	FuelOil	Boiler	TRUE	8	heating	7/29/24
com_heating_ts_4	"HP Boiler, Electric Backup"	NaturalGas	Boiler	TRUE	8	heating	7/29/24
com_heating_ts_4	"HP Boiler, Electric Backup"	Propane	Boiler	TRUE	8	heating	7/29/24
com_heating_ts_5	"HP Boiler, Gas Backup"	NaturalGas	Boiler	TRUE	9	heating	7/29/24
com_heating_ts_6	GSHP heating	DistrictHeating	District	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	Electricity	Electric Resistance	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	Electricity	ASHP	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	Electricity	WSHP	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	Electricity	GSHP	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	Electricity	Furnace	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	FuelOil	Furnace	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	FuelOil	Boiler 	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	NaturalGas	Boiler 	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	NaturalGas	Furnace	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	Propane	Furnace	TRUE	18	heating	7/29/24
com_heating_ts_6	GSHP heating	Propane	Boiler 	TRUE	18	heating	7/29/24
com_heating_ts_7	Electric resistance	Electricity	Electric Resistance	TRUE	0	heating	7/29/24
com_heating_ts_8	Fossil furnace	FuelOil	Furnace	TRUE	0	heating	7/29/24
com_heating_ts_8	Fossil furnace	NaturalGas	Furnace	TRUE	0	heating	7/29/24
com_heating_ts_8	Fossil furnace	Propane	Furnace	TRUE	0	heating	7/29/24
com_heating_ts_9	Fossil boiler	FuelOil	Boiler	TRUE	0	heating	7/29/24
com_heating_ts_9	Fossil boiler	NaturalGas	Boiler	TRUE	0	heating	7/29/24
com_heating_ts_9	Fossil boiler	Propane	Boiler	TRUE	0	heating	7/29/24
