shape_ts	description	in.hvac_cooling_type	in.hvac_category	applicability	upgrade	shape_end_use	version
	"Variable Speed HP RTU, Electric Backup"	ACC	Zone-by-Zone	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	WCC	Zone-by-Zone	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	District	Zone-by-Zone	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	DX	Small Packaged Unit	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	DX	Multizone CAV/VAV	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	ACC	Multizone CAV/VAV	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	WCC	Multizone CAV/VAV	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	District	Multizone CAV/VAV	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	None	Other HVAC	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	Evaporative Cooling	Small Packaged Unit	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	ASHP	Zone-by-Zone	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	WSHP	Zone-by-Zone	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	GSHP	Zone-by-Zone	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	District	Small Packaged Unit	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	ASHP	Small Packaged Unit	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	DX	Zone-by-Zone	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	None	Zone-by-Zone	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	DX	Residential Style Central Systems	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup"	None	Residential Style Central Systems	TRUE	1	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	ACC	Zone-by-Zone	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	WCC	Zone-by-Zone	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	District	Zone-by-Zone	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	DX	Small Packaged Unit	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	DX	Multizone CAV/VAV	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	ACC	Multizone CAV/VAV	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	WCC	Multizone CAV/VAV	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	District	Multizone CAV/VAV	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	None	Other HVAC	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	Evaporative Cooling	Small Packaged Unit	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	ASHP	Zone-by-Zone	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	WSHP	Zone-by-Zone	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	GSHP	Zone-by-Zone	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	District	Small Packaged Unit	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	ASHP	Small Packaged Unit	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	DX	Zone-by-Zone	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	None	Zone-by-Zone	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	DX	Residential Style Central Systems	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Original Heating Fuel Backup"	None	Residential Style Central Systems	TRUE	2	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	ACC	Zone-by-Zone	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	WCC	Zone-by-Zone	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	District	Zone-by-Zone	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	DX	Small Packaged Unit	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	DX	Multizone CAV/VAV	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	ACC	Multizone CAV/VAV	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	WCC	Multizone CAV/VAV	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	District	Multizone CAV/VAV	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	None	Other HVAC	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	Evaporative Cooling	Small Packaged Unit	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	ASHP	Zone-by-Zone	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	WSHP	Zone-by-Zone	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	GSHP	Zone-by-Zone	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	District	Small Packaged Unit	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	ASHP	Small Packaged Unit	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	DX	Zone-by-Zone	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	None	Zone-by-Zone	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	DX	Residential Style Central Systems	TRUE	3	cooling	7/29/24
	"Variable Speed HP RTU, Electric Backup, Energy Recovery"	None	Residential Style Central Systems	TRUE	3	cooling	7/29/24
	"HP Boiler, Electric Backup"	ACC	Zone-by-Zone	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	WCC	Zone-by-Zone	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	District	Zone-by-Zone	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	DX	Small Packaged Unit	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	DX	Multizone CAV/VAV	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	ACC	Multizone CAV/VAV	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	WCC	Multizone CAV/VAV	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	District	Multizone CAV/VAV	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	None	Other HVAC	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	Evaporative Cooling	Small Packaged Unit	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	ASHP	Zone-by-Zone	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	WSHP	Zone-by-Zone	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	GSHP	Zone-by-Zone	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	District	Small Packaged Unit	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	ASHP	Small Packaged Unit	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	DX	Zone-by-Zone	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	None	Zone-by-Zone	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	DX	Residential Style Central Systems	TRUE	8	cooling	7/29/24
	"HP Boiler, Electric Backup"	None	Residential Style Central Systems	TRUE	8	cooling	7/29/24
	Chiller	ACC	Zone-by-Zone	TRUE	0	cooling	7/29/24
	Chiller	WCC	Zone-by-Zone	TRUE	0	cooling	7/29/24
	Chiller	ACC	Multizone CAV/VAV	TRUE	0	cooling	7/29/24
	Chiller	WCC	Multizone CAV/VAV	TRUE	0	cooling	7/29/24
	Chiller	District	Multizone CAV/VAV	TRUE	0	cooling	7/29/24
	Chiller	District	Zone-by-Zone	TRUE	0	cooling	7/29/24
	Chiller	District	Small Packaged Unit	TRUE	0	cooling	7/29/24
	RTAC	DX	Small Packaged Unit	TRUE	0	cooling	7/29/24
	RTAC	DX	Multizone CAV/VAV	TRUE	0	cooling	7/29/24
	RTAC	None	Other HVAC	TRUE	0	cooling	7/29/24
	RTAC	Evaporative Cooling	Small Packaged Unit	TRUE	0	cooling	7/29/24
	RTAC	DX	Zone-by-Zone	TRUE	0	cooling	7/29/24
	RTAC	None	Zone-by-Zone	TRUE	0	cooling	7/29/24
	Residential system	DX	Residential Style Central Systems	TRUE	0	cooling	7/29/24
	Residential system	None	Residential Style Central Systems	TRUE	0	cooling	7/29/24
	GSHP cooling	GSHP	Zone-by-Zone	TRUE	0	cooling	7/29/24
