year,in.census_division,ratio,in.state
2024,New England,1.12492278,CT
2024,New England,1.12492278,MA
2024,New England,1.12492278,RI
2024,New England,1.12492278,NH
2024,New England,1.12492278,ME
2024,New England,1.12492278,VT
2024,Middle Atlantic,1.108248821,NY
2024,Middle Atlantic,1.108248821,PA
2024,Middle Atlantic,1.108248821,NJ
2024,East North Central,1.08926585,OH
2024,East North Central,1.08926585,IN
2024,East North Central,1.08926585,MI
2024,East North Central,1.08926585,IL
2024,East North Central,1.08926585,WI
2024,West North Central,1.100327143,MO
2024,West North Central,1.100327143,MN
2024,West North Central,1.100327143,KS
2024,West North Central,1.100327143,IA
2024,West North Central,1.100327143,NE
2024,West North Central,1.100327143,ND
2024,West North Central,1.100327143,SD
2024,South Atlantic,1.772030898,FL
2024,South Atlantic,1.772030898,VA
2024,South Atlantic,1.772030898,MD
2024,South Atlantic,1.772030898,NC
2024,South Atlantic,1.772030898,GA
2024,South Atlantic,1.772030898,WV
2024,South Atlantic,1.772030898,SC
2024,South Atlantic,1.772030898,DE
2024,South Atlantic,1.772030898,DC
2024,East South Central,1.80311644,AL
2024,East South Central,1.80311644,TN
2024,East South Central,1.80311644,MS
2024,East South Central,1.80311644,KY
2024,West South Central,1.270093036,TX
2024,West South Central,1.270093036,LA
2024,West South Central,1.270093036,AR
2024,West South Central,1.270093036,OK
2024,Mountain,1.254520447,ID
2024,Mountain,1.254520447,CO
2024,Mountain,1.254520447,AZ
2024,Mountain,1.254520447,NM
2024,Mountain,1.254520447,NV
2024,Mountain,1.254520447,MT
2024,Mountain,1.254520447,WY
2024,Mountain,1.254520447,UT
2024,Pacific,1.064519214,CA
2024,Pacific,1.064519214,WA
2024,Pacific,1.064519214,OR
2025,New England,1.132569836,CT
2025,New England,1.132569836,MA
2025,New England,1.132569836,RI
2025,New England,1.132569836,NH
2025,New England,1.132569836,ME
2025,New England,1.132569836,VT
2025,Middle Atlantic,1.108059054,NY
2025,Middle Atlantic,1.108059054,PA
2025,Middle Atlantic,1.108059054,NJ
2025,East North Central,1.088929252,OH
2025,East North Central,1.088929252,IN
2025,East North Central,1.088929252,MI
2025,East North Central,1.088929252,IL
2025,East North Central,1.088929252,WI
2025,West North Central,1.100295046,MO
2025,West North Central,1.100295046,MN
2025,West North Central,1.100295046,KS
2025,West North Central,1.100295046,IA
2025,West North Central,1.100295046,NE
2025,West North Central,1.100295046,ND
2025,West North Central,1.100295046,SD
2025,South Atlantic,1.780377142,FL
2025,South Atlantic,1.780377142,VA
2025,South Atlantic,1.780377142,MD
2025,South Atlantic,1.780377142,NC
2025,South Atlantic,1.780377142,GA
2025,South Atlantic,1.780377142,WV
2025,South Atlantic,1.780377142,SC
2025,South Atlantic,1.780377142,DE
2025,South Atlantic,1.780377142,DC
2025,East South Central,1.805645065,AL
2025,East South Central,1.805645065,TN
2025,East South Central,1.805645065,MS
2025,East South Central,1.805645065,KY
2025,West South Central,1.275830043,TX
2025,West South Central,1.275830043,LA
2025,West South Central,1.275830043,AR
2025,West South Central,1.275830043,OK
2025,Mountain,1.254515071,ID
2025,Mountain,1.254515071,CO
2025,Mountain,1.254515071,AZ
2025,Mountain,1.254515071,NM
2025,Mountain,1.254515071,NV
2025,Mountain,1.254515071,MT
2025,Mountain,1.254515071,WY
2025,Mountain,1.254515071,UT
2025,Pacific,1.064477519,CA
2025,Pacific,1.064477519,WA
2025,Pacific,1.064477519,OR
2026,New England,1.13997685,CT
2026,New England,1.13997685,MA
2026,New England,1.13997685,RI
2026,New England,1.13997685,NH
2026,New England,1.13997685,ME
2026,New England,1.13997685,VT
2026,Middle Atlantic,1.107839389,NY
2026,Middle Atlantic,1.107839389,PA
2026,Middle Atlantic,1.107839389,NJ
2026,East North Central,1.088598692,OH
2026,East North Central,1.088598692,IN
2026,East North Central,1.088598692,MI
2026,East North Central,1.088598692,IL
2026,East North Central,1.088598692,WI
2026,West North Central,1.100235645,MO
2026,West North Central,1.100235645,MN
2026,West North Central,1.100235645,KS
2026,West North Central,1.100235645,IA
2026,West North Central,1.100235645,NE
2026,West North Central,1.100235645,ND
2026,West North Central,1.100235645,SD
2026,South Atlantic,1.788468626,FL
2026,South Atlantic,1.788468626,VA
2026,South Atlantic,1.788468626,MD
2026,South Atlantic,1.788468626,NC
2026,South Atlantic,1.788468626,GA
2026,South Atlantic,1.788468626,WV
2026,South Atlantic,1.788468626,SC
2026,South Atlantic,1.788468626,DE
2026,South Atlantic,1.788468626,DC
2026,East South Central,1.80813255,AL
2026,East South Central,1.80813255,TN
2026,East South Central,1.80813255,MS
2026,East South Central,1.80813255,KY
2026,West South Central,1.281350592,TX
2026,West South Central,1.281350592,LA
2026,West South Central,1.281350592,AR
2026,West South Central,1.281350592,OK
2026,Mountain,1.254516799,ID
2026,Mountain,1.254516799,CO
2026,Mountain,1.254516799,AZ
2026,Mountain,1.254516799,NM
2026,Mountain,1.254516799,NV
2026,Mountain,1.254516799,MT
2026,Mountain,1.254516799,WY
2026,Mountain,1.254516799,UT
2026,Pacific,1.064570242,CA
2026,Pacific,1.064570242,WA
2026,Pacific,1.064570242,OR
2027,New England,1.146591138,CT
2027,New England,1.146591138,MA
2027,New England,1.146591138,RI
2027,New England,1.146591138,NH
2027,New England,1.146591138,ME
2027,New England,1.146591138,VT
2027,Middle Atlantic,1.107489285,NY
2027,Middle Atlantic,1.107489285,PA
2027,Middle Atlantic,1.107489285,NJ
2027,East North Central,1.088215187,OH
2027,East North Central,1.088215187,IN
2027,East North Central,1.088215187,MI
2027,East North Central,1.088215187,IL
2027,East North Central,1.088215187,WI
2027,West North Central,1.100100043,MO
2027,West North Central,1.100100043,MN
2027,West North Central,1.100100043,KS
2027,West North Central,1.100100043,IA
2027,West North Central,1.100100043,NE
2027,West North Central,1.100100043,ND
2027,West North Central,1.100100043,SD
2027,South Atlantic,1.796324768,FL
2027,South Atlantic,1.796324768,VA
2027,South Atlantic,1.796324768,MD
2027,South Atlantic,1.796324768,NC
2027,South Atlantic,1.796324768,GA
2027,South Atlantic,1.796324768,WV
2027,South Atlantic,1.796324768,SC
2027,South Atlantic,1.796324768,DE
2027,South Atlantic,1.796324768,DC
2027,East South Central,1.810614845,AL
2027,East South Central,1.810614845,TN
2027,East South Central,1.810614845,MS
2027,East South Central,1.810614845,KY
2027,West South Central,1.286669061,TX
2027,West South Central,1.286669061,LA
2027,West South Central,1.286669061,AR
2027,West South Central,1.286669061,OK
2027,Mountain,1.254503072,ID
2027,Mountain,1.254503072,CO
2027,Mountain,1.254503072,AZ
2027,Mountain,1.254503072,NM
2027,Mountain,1.254503072,NV
2027,Mountain,1.254503072,MT
2027,Mountain,1.254503072,WY
2027,Mountain,1.254503072,UT
2027,Pacific,1.064630227,CA
2027,Pacific,1.064630227,WA
2027,Pacific,1.064630227,OR
2028,New England,1.152664937,CT
2028,New England,1.152664937,MA
2028,New England,1.152664937,RI
2028,New England,1.152664937,NH
2028,New England,1.152664937,ME
2028,New England,1.152664937,VT
2028,Middle Atlantic,1.107119547,NY
2028,Middle Atlantic,1.107119547,PA
2028,Middle Atlantic,1.107119547,NJ
2028,East North Central,1.087865423,OH
2028,East North Central,1.087865423,IN
2028,East North Central,1.087865423,MI
2028,East North Central,1.087865423,IL
2028,East North Central,1.087865423,WI
2028,West North Central,1.100000054,MO
2028,West North Central,1.100000054,MN
2028,West North Central,1.100000054,KS
2028,West North Central,1.100000054,IA
2028,West North Central,1.100000054,NE
2028,West North Central,1.100000054,ND
2028,West North Central,1.100000054,SD
2028,South Atlantic,1.804044708,FL
2028,South Atlantic,1.804044708,VA
2028,South Atlantic,1.804044708,MD
2028,South Atlantic,1.804044708,NC
2028,South Atlantic,1.804044708,GA
2028,South Atlantic,1.804044708,WV
2028,South Atlantic,1.804044708,SC
2028,South Atlantic,1.804044708,DE
2028,South Atlantic,1.804044708,DC
2028,East South Central,1.813135587,AL
2028,East South Central,1.813135587,TN
2028,East South Central,1.813135587,MS
2028,East South Central,1.813135587,KY
2028,West South Central,1.291835125,TX
2028,West South Central,1.291835125,LA
2028,West South Central,1.291835125,AR
2028,West South Central,1.291835125,OK
2028,Mountain,1.254501732,ID
2028,Mountain,1.254501732,CO
2028,Mountain,1.254501732,AZ
2028,Mountain,1.254501732,NM
2028,Mountain,1.254501732,NV
2028,Mountain,1.254501732,MT
2028,Mountain,1.254501732,WY
2028,Mountain,1.254501732,UT
2028,Pacific,1.064684896,CA
2028,Pacific,1.064684896,WA
2028,Pacific,1.064684896,OR
2029,New England,1.158178902,CT
2029,New England,1.158178902,MA
2029,New England,1.158178902,RI
2029,New England,1.158178902,NH
2029,New England,1.158178902,ME
2029,New England,1.158178902,VT
2029,Middle Atlantic,1.106765132,NY
2029,Middle Atlantic,1.106765132,PA
2029,Middle Atlantic,1.106765132,NJ
2029,East North Central,1.087540351,OH
2029,East North Central,1.087540351,IN
2029,East North Central,1.087540351,MI
2029,East North Central,1.087540351,IL
2029,East North Central,1.087540351,WI
2029,West North Central,1.09992757,MO
2029,West North Central,1.09992757,MN
2029,West North Central,1.09992757,KS
2029,West North Central,1.09992757,IA
2029,West North Central,1.09992757,NE
2029,West North Central,1.09992757,ND
2029,West North Central,1.09992757,SD
2029,South Atlantic,1.811542415,FL
2029,South Atlantic,1.811542415,VA
2029,South Atlantic,1.811542415,MD
2029,South Atlantic,1.811542415,NC
2029,South Atlantic,1.811542415,GA
2029,South Atlantic,1.811542415,WV
2029,South Atlantic,1.811542415,SC
2029,South Atlantic,1.811542415,DE
2029,South Atlantic,1.811542415,DC
2029,East South Central,1.815660539,AL
2029,East South Central,1.815660539,TN
2029,East South Central,1.815660539,MS
2029,East South Central,1.815660539,KY
2029,West South Central,1.296794668,TX
2029,West South Central,1.296794668,LA
2029,West South Central,1.296794668,AR
2029,West South Central,1.296794668,OK
2029,Mountain,1.25449973,ID
2029,Mountain,1.25449973,CO
2029,Mountain,1.25449973,AZ
2029,Mountain,1.25449973,NM
2029,Mountain,1.25449973,NV
2029,Mountain,1.25449973,MT
2029,Mountain,1.25449973,WY
2029,Mountain,1.25449973,UT
2029,Pacific,1.06470319,CA
2029,Pacific,1.06470319,WA
2029,Pacific,1.06470319,OR
2030,New England,1.163213694,CT
2030,New England,1.163213694,MA
2030,New England,1.163213694,RI
2030,New England,1.163213694,NH
2030,New England,1.163213694,ME
2030,New England,1.163213694,VT
2030,Middle Atlantic,1.106384493,NY
2030,Middle Atlantic,1.106384493,PA
2030,Middle Atlantic,1.106384493,NJ
2030,East North Central,1.087255723,OH
2030,East North Central,1.087255723,IN
2030,East North Central,1.087255723,MI
2030,East North Central,1.087255723,IL
2030,East North Central,1.087255723,WI
2030,West North Central,1.099882324,MO
2030,West North Central,1.099882324,MN
