meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts
(R) Best HP FS (NG Boiler)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_12	res_cooling_ts_1	res_cooling_ts_3
(R) Best HP FS (NG Boiler)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_12	res_heating_ts_2	res_heating_ts_4
(R) Best HP FS (NG Furnace)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_12	res_cooling_ts_1	res_cooling_ts_3
(R) Best HP FS (NG Furnace)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_12	res_heating_ts_2	res_heating_ts_4
"(R) Best HP FS (NG Heat, No Cool)"	Cooling (Equip.)	res_hvac_ann_62	res_hvac_ann_64	res_cooling_ts_3	res_cooling_ts_3
"(R) Best HP FS (NG Heat, No Cool)"	Heating (Equip.)	res_hvac_ann_62	res_hvac_ann_64	res_heating_ts_4	res_heating_ts_4
(R) Best HP FS (Other Fossil Boiler)	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_23	res_cooling_ts_1	res_cooling_ts_3
(R) Best HP FS (Other Fossil Boiler)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_23	res_heating_ts_2	res_heating_ts_4
(R) Best HP FS (Other Fossil Furnace)	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_23	res_cooling_ts_1	res_cooling_ts_3
(R) Best HP FS (Other Fossil Furnace)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_23	res_heating_ts_2	res_heating_ts_4
"(R) Best HP FS (Other Fossil Heat, No Cool)"	Cooling (Equip.)	res_hvac_ann_73	res_hvac_ann_75	res_cooling_ts_3	res_cooling_ts_3
"(R) Best HP FS (Other Fossil Heat, No Cool)"	Heating (Equip.)	res_hvac_ann_73	res_hvac_ann_75	res_heating_ts_4	res_heating_ts_4
(R) Best HP Pt. FS (NG Boiler)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_14	res_cooling_ts_1	res_cooling_ts_3
(R) Best HP Pt. FS (NG Boiler)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_14	res_heating_ts_2	res_heating_ts_6
(R) Best HP Pt. FS (NG Furnace)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_14	res_cooling_ts_1	res_cooling_ts_3
(R) Best HP Pt. FS (NG Furnace)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_14	res_heating_ts_2	res_heating_ts_6
(R) Best HP Pt. FS (Other Fossil Boiler)	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_25	res_cooling_ts_1	res_cooling_ts_3
(R) Best HP Pt. FS (Other Fossil Boiler)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_25	res_heating_ts_2	res_heating_ts_6
(R) Best HP Pt. FS (Other Fossil Furnace)	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_25	res_cooling_ts_1	res_cooling_ts_3
(R) Best HP Pt. FS (Other Fossil Furnace)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_25	res_heating_ts_2	res_heating_ts_6
"(R) Best HP TS (Resist. Heat, No Cool)"	Cooling (Equip.)	res_hvac_ann_53	res_hvac_ann_55	res_cooling_ts_3	res_cooling_ts_3
"(R) Best HP TS (Resist. Heat, No Cool)"	Heating (Equip.)	res_hvac_ann_53	res_hvac_ann_55	res_heating_ts_4	res_heating_ts_4
(R) Best HP TS (Resist.)	Cooling (Equip.)	res_hvac_ann_1	res_hvac_ann_3	res_cooling_ts_1	res_cooling_ts_3
(R) Best HP TS (Resist.)	Heating (Equip.)	res_hvac_ann_1	res_hvac_ann_3	res_heating_ts_1	res_heating_ts_4
(R) Brk. HP FS (NG Boiler)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_13	res_cooling_ts_1	res_cooling_ts_4
(R) Brk. HP FS (NG Boiler)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_13	res_heating_ts_2	res_heating_ts_5
(R) Brk. HP FS (NG Furnace)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_13	res_cooling_ts_1	res_cooling_ts_4
(R) Brk. HP FS (NG Furnace)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_13	res_heating_ts_2	res_heating_ts_5
"(R) Brk. HP FS (NG Heat, No Cool)"	Cooling (Equip.)	res_hvac_ann_62	res_hvac_ann_65	res_cooling_ts_4	res_cooling_ts_4
"(R) Brk. HP FS (NG Heat, No Cool)"	Heating (Equip.)	res_hvac_ann_62	res_hvac_ann_65	res_heating_ts_5	res_heating_ts_5
(R) Brk. HP FS (Other Fossil Boiler)	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_24	res_cooling_ts_1	res_cooling_ts_4
(R) Brk. HP FS (Other Fossil Boiler)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_24	res_heating_ts_2	res_heating_ts_5
(R) Brk. HP FS (Other Fossil Furnace)	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_24	res_cooling_ts_1	res_cooling_ts_4
(R) Brk. HP FS (Other Fossil Furnace)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_24	res_heating_ts_2	res_heating_ts_5
"(R) Brk. HP FS (Other Fossil Heat, No Cool)"	Cooling (Equip.)	res_hvac_ann_73	res_hvac_ann_76	res_cooling_ts_4	res_cooling_ts_4
"(R) Brk. HP FS (Other Fossil Heat, No Cool)"	Heating (Equip.)	res_hvac_ann_73	res_hvac_ann_76	res_heating_ts_5	res_heating_ts_5
(R) Brk. HP LFL	Cooling (Equip.)	res_hvac_ann_32	res_hvac_ann_35	res_cooling_ts_1	res_cooling_ts_4
(R) Brk. HP LFL	Heating (Equip.)	res_hvac_ann_32	res_hvac_ann_35	res_heating_ts_3	res_heating_ts_5
"(R) Brk. HP TS (Resist. Heat, No Cool)"	Cooling (Equip.)	res_hvac_ann_53	res_hvac_ann_56	res_cooling_ts_4	res_cooling_ts_4
"(R) Brk. HP TS (Resist. Heat, No Cool)"	Heating (Equip.)	res_hvac_ann_53	res_hvac_ann_56	res_heating_ts_5	res_heating_ts_5
(R) Brk. HP TS (Resist.)	Cooling (Equip.)	res_hvac_ann_1	res_hvac_ann_4	res_cooling_ts_1	res_cooling_ts_4
(R) Brk. HP TS (Resist.)	Heating (Equip.)	res_hvac_ann_1	res_hvac_ann_4	res_heating_ts_1	res_heating_ts_5
(R) Electric FS (Secondary Fossil Heating)	Heating (Equip.)	res_hvac_ann_84	res_hvac_ann_52	res_heating_ts_1	res_heating_ts_1
(R) ESTAR GSHP (NG Furnace)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_15	res_cooling_ts_1	res_cooling_ts_5
(R) ESTAR GSHP (NG Furnace)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_15	res_heating_ts_2	res_heating_ts_7
(R) ESTAR GSHP (Other Fossil Furnace)	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_26	res_cooling_ts_1	res_cooling_ts_5
