meas	end_use
(R) ESTAR HP TS (Resist. Heat, No Cool)	Heating (Equip.)
(R) ESTAR HP TS (Resist. Heat, No Cool)	Cooling (Equip.)
(C) Best HP FS (NG Boiler)	Heating (Equip.)
(C) Best HP FS (NG Boiler)	Cooling (Equip.)
(R) Ref. Case Gas Dryer	Other
(C) Ref. Case Refrigeration	Refrigeration
(R) Brk. HP TS (Resist. Heat, No Cool)	Heating (Equip.)
(R) Brk. HP TS (Resist. Heat, No Cool)	Cooling (Equip.)
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Heating (Equip.)
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Cooling (Equip.)
(R) Ref. Case Fans and Pumps	Other
(R) Ref. Case Gas WH	Water Heating
(R) Best Dishwasher	Other
(R) ESTAR GSHP (NG Furnace)	Heating (Equip.)
(R) ESTAR GSHP (NG Furnace)	Cooling (Equip.)
(C) Ref. Case Gas Range	Cooking
(R) Best HP Pt. FS (NG Heat, No Cool)	Heating (Equip.)
(R) Best HP Pt. FS (NG Heat, No Cool)	Cooling (Equip.)
(R) Best HP FS (NG Heat, No Cool)	Heating (Equip.)
(R) Best HP FS (NG Heat, No Cool)	Cooling (Equip.)
(R) Brk. HP FS (NG Boiler)	Heating (Equip.)
(R) Brk. HP FS (NG Boiler)	Cooling (Equip.)
(C) Ref. Case RTU, Other Fossil Heat	Heating (Equip.)
(C) Ref. Case RTU, Other Fossil Heat	Cooling (Equip.)
(R) Brk. HP FS (Other Fossil Heat, No Cool)	Heating (Equip.)
(R) Brk. HP FS (Other Fossil Heat, No Cool)	Cooling (Equip.)
(R) Best HP Pt. FS (Other Fossil Heat, No Cool)	Heating (Equip.)
(R) Best HP Pt. FS (Other Fossil Heat, No Cool)	Cooling (Equip.)
(R) ESTAR HP FS (NG Furnace)	Heating (Equip.)
(R) ESTAR HP FS (NG Furnace)	Cooling (Equip.)
(R) Best HP Pt. FS (Other Fossil Furnace)	Heating (Equip.)
(R) Best HP Pt. FS (Other Fossil Furnace)	Cooling (Equip.)
(R) Best Residential LED Lighting	Lighting
(C) Ref. Case NG Boiler & Chiller	Heating (Equip.)
(C) Ref. Case NG Boiler & Chiller	Cooling (Equip.)
(R) Ref. Case Other Fossil Furnace & AC	Heating (Equip.)
(R) Ref. Case Other Fossil Furnace & AC	Cooling (Equip.)
(R) Ref. Case Bio or No Heat & AC	Heating (Equip.)
(R) Ref. Case Bio or No Heat & AC	Cooling (Equip.)
(C) Ref. Case Plug Loads	Computers and Electronics
(R) Ref. Case Misc. Electric Appliances	Refrigeration
