group_ann	original	description	in.cooking_range	upgrade	shape_ts_wh	version
res_cook_ann_1	fossil cooking	fossil cooking	"Gas, 100% Usage"	0	res_cook_ts_1	7/19/24
res_cook_ann_1	fossil cooking	fossil cooking	"Gas, 120% Usage"	0	res_cook_ts_1	7/19/24
res_cook_ann_1	fossil cooking	fossil cooking	"Gas, 80% Usage"	0	res_cook_ts_1	7/19/24
res_cook_ann_1	fossil cooking	fossil cooking	None	0	res_cook_ts_1	7/19/24
res_cook_ann_1	fossil cooking	fossil cooking	"Propane, 100% Usage"	0	res_cook_ts_1	7/19/24
res_cook_ann_1	fossil cooking	fossil cooking	"Propane, 120% Usage"	0	res_cook_ts_1	7/19/24
res_cook_ann_1	fossil cooking	fossil cooking	"Propane, 80% Usage"	0	res_cook_ts_1	7/19/24
res_cook_ann_2	fossil cooking	fossil cooking to induction	"Gas, 100% Usage"	11	res_cook_ts_2	7/19/24
res_cook_ann_2	fossil cooking	fossil cooking to induction	"Gas, 120% Usage"	11	res_cook_ts_2	7/19/24
res_cook_ann_2	fossil cooking	fossil cooking to induction	"Gas, 80% Usage"	11	res_cook_ts_2	7/19/24
res_cook_ann_2	fossil cooking	fossil cooking to induction	None	11	res_cook_ts_2	7/19/24
res_cook_ann_2	fossil cooking	fossil cooking to induction	"Propane, 100% Usage"	11	res_cook_ts_2	7/19/24
res_cook_ann_2	fossil cooking	fossil cooking to induction	"Propane, 120% Usage"	11	res_cook_ts_2	7/19/24
res_cook_ann_2	fossil cooking	fossil cooking to induction	"Propane, 80% Usage"	11	res_cook_ts_2	7/19/24
res_cook_ann_3	electric cooking	electric cooking	"Electric, 100% Usage"	0	res_cook_ts_2	7/19/24
res_cook_ann_3	electric cooking	electric cooking	"Electric, 120% Usage"	0	res_cook_ts_2	7/19/24
res_cook_ann_3	electric cooking	electric cooking	"Electric, 80% Usage"	0	res_cook_ts_2	7/19/24
res_cook_ann_3	electric cooking	electric cooking	"Gas, 100% Usage"	0	res_cook_ts_2	7/19/24
res_cook_ann_3	electric cooking	electric cooking	"Gas, 120% Usage"	0	res_cook_ts_2	7/19/24
res_cook_ann_3	electric cooking	electric cooking	"Gas, 80% Usage"	0	res_cook_ts_2	7/19/24
res_cook_ann_3	electric cooking	electric cooking	"Propane, 100% Usage"	0	res_cook_ts_2	7/19/24
res_cook_ann_3	electric cooking	electric cooking	"Propane, 120% Usage"	0	res_cook_ts_2	7/19/24
res_cook_ann_3	electric cooking	electric cooking	"Propane, 80% Usage"	0	res_cook_ts_2	7/19/24
