shape_ts	description	in.cooking_range	upgrade	version
res_cook_ts_1	fossil cooking	"Gas, 100% Usage"	0	7/19/24
res_cook_ts_1	fossil cooking	"Gas, 120% Usage"	0	7/19/24
res_cook_ts_1	fossil cooking	"Gas, 80% Usage"	0	7/19/24
res_cook_ts_1	fossil cooking	None	0	7/19/24
res_cook_ts_1	fossil cooking	"Propane, 100% Usage"	0	7/19/24
res_cook_ts_1	fossil cooking	"Propane, 120% Usage"	0	7/19/24
res_cook_ts_1	fossil cooking	"Propane, 80% Usage"	0	7/19/24
res_cook_ts_2	electric cooking	"Electric, 100% Usage"	11	7/19/24
res_cook_ts_2	electric cooking	"Electric, 120% Usage"	11	7/19/24
res_cook_ts_2	electric cooking	"Electric, 80% Usage"	11	7/19/24
res_cook_ts_2	electric cooking	"Gas, 100% Usage"	11	7/19/24
res_cook_ts_2	electric cooking	"Gas, 120% Usage"	11	7/19/24
res_cook_ts_2	electric cooking	"Gas, 80% Usage"	11	7/19/24
res_cook_ts_2	electric cooking	None	11	7/19/24
res_cook_ts_2	electric cooking	"Propane, 100% Usage"	11	7/19/24
res_cook_ts_2	electric cooking	"Propane, 120% Usage"	11	7/19/24
res_cook_ts_2	electric cooking	"Propane, 80% Usage"	11	7/19/24
