shape_ts	description	in.heating_fuel	in.hvac_cooling_type	upgrade	shape_end_use	version
res_heating_ts_1	ER heating	Electricity	Central AC	0	heating	7/19/24
res_heating_ts_2	Fossil heating	Fuel Oil	Central AC	0	heating	7/19/24
res_heating_ts_2	Fossil heating	Natural Gas	Central AC	0	heating	7/19/24
res_heating_ts_2	Fossil heating	Other Fuel	Central AC	0	heating	7/19/24
res_heating_ts_2	Fossil heating	Propane	Central AC	0	heating	7/19/24
res_heating_ts_3	ES ASHP heating	Electricity	Central AC	1	heating	7/19/24
res_heating_ts_3	ES ASHP heating	Fuel Oil	Central AC	1	heating	7/19/24
res_heating_ts_3	ES ASHP heating	Natural Gas	Central AC	1	heating	7/19/24
res_heating_ts_3	ES ASHP heating	None	Central AC	1	heating	7/19/24
res_heating_ts_3	ES ASHP heating	Other Fuel	Central AC	1	heating	7/19/24
res_heating_ts_3	ES ASHP heating	Propane	Central AC	1	heating	7/19/24
res_heating_ts_4	high eff ASHP heating	Electricity	Central AC	2	heating	7/19/24
res_heating_ts_4	high eff ASHP heating	Fuel Oil	Central AC	2	heating	7/19/24
res_heating_ts_4	high eff ASHP heating	Natural Gas	Central AC	2	heating	7/19/24
res_heating_ts_4	high eff ASHP heating	None	Central AC	2	heating	7/19/24
res_heating_ts_4	high eff ASHP heating	Other Fuel	Central AC	2	heating	7/19/24
res_heating_ts_4	high eff ASHP heating	Propane	Central AC	2	heating	7/19/24
res_heating_ts_5	ultra high eff ASHP heating	Electricity	Central AC	3	heating	7/19/24
res_heating_ts_5	ultra high eff ASHP heating	Fuel Oil	Central AC	3	heating	7/19/24
res_heating_ts_5	ultra high eff ASHP heating	Natural Gas	Central AC	3	heating	7/19/24
res_heating_ts_5	ultra high eff ASHP heating	None	Central AC	3	heating	7/19/24
res_heating_ts_5	ultra high eff ASHP heating	Other Fuel	Central AC	3	heating	7/19/24
res_heating_ts_5	ultra high eff ASHP heating	Propane	Central AC	3	heating	7/19/24
res_heating_ts_6	ES ASHP fossil backup heating	Fuel Oil	Central AC	4	heating	7/19/24
res_heating_ts_6	ES ASHP fossil backup heating	Natural Gas	Central AC	4	heating	7/19/24
res_heating_ts_6	ES ASHP fossil backup heating	Other Fuel	Central AC	4	heating	7/19/24
res_heating_ts_6	ES ASHP fossil backup heating	Propane	Central AC	4	heating	7/19/24
res_heating_ts_7	GSHP heating	Electricity	Central AC	5	heating	7/19/24
res_heating_ts_7	GSHP heating	Fuel Oil	Central AC	5	heating	7/19/24
res_heating_ts_7	GSHP heating	Natural Gas	Central AC	5	heating	7/19/24
res_heating_ts_7	GSHP heating	None	Central AC	5	heating	7/19/24
res_heating_ts_7	GSHP heating	Other Fuel	Central AC	5	heating	7/19/24
res_heating_ts_7	GSHP heating	Propane	Central AC	5	heating	7/19/24
res_heating_ts_8	ES ASHP  + light env heating	Electricity	Central AC	6	heating	7/19/24
res_heating_ts_8	ES ASHP  + light env heating	Fuel Oil	Central AC	6	heating	7/19/24
res_heating_ts_8	ES ASHP  + light env heating	Natural Gas	Central AC	6	heating	7/19/24
res_heating_ts_8	ES ASHP  + light env heating	None	Central AC	6	heating	7/19/24
res_heating_ts_8	ES ASHP  + light env heating	Other Fuel	Central AC	6	heating	7/19/24
res_heating_ts_8	ES ASHP  + light env heating	Propane	Central AC	6	heating	7/19/24
res_heating_ts_9	high eff ASHP  + light env heating	Electricity	Central AC	7	heating	7/19/24
