group_ann	original	description	in.heating_fuel	in.hvac_combined_type	upgrade
com_hvac_ann_1	ashp	ashp	Electricity	DOAS+Zone terminal equipment_ASHP_ASHP	0
com_hvac_ann_1	ashp	ashp	Electricity	DOAS+Zone terminal equipment_WSHP_WSHP	0
com_hvac_ann_1	ashp	ashp	Electricity	Central Single-zone RTU_ASHP_ASHP	0
com_hvac_ann_1	ashp	ashp	Electricity	Zone terminal equipment_ASHP_ASHP	0
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	DistrictHeating	Central Single-zone RTU_District_DX	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	DistrictHeating	Central Multi-zone VAV RTU_District_DX	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	Central Single-zone RTU_Boiler _Evaporative Cooling	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	Central Single-zone RTU_Boiler _DX	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	Zone terminal equipment_Boiler _DX	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	Central Multi-zone VAV RTU_Boiler _DX	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	DistrictHeating	DOAS+Zone terminal equipment_District_ACC	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	DistrictHeating	DOAS+Zone terminal equipment_District_WCC	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	DistrictHeating	DOAS+Zone terminal equipment_District_District	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	DistrictHeating	Central Multi-zone VAV RTU_District_ACC	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	DistrictHeating	Central Multi-zone VAV RTU_District_WCC	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	DistrictHeating	Central Multi-zone VAV RTU_District_District	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	DOAS+Zone terminal equipment_Boiler _ACC	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	DOAS+Zone terminal equipment_Boiler _WCC	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	DOAS+Zone terminal equipment_Boiler _District	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	Central Multi-zone VAV RTU_Boiler _ACC	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	Central Multi-zone VAV RTU_Boiler _WCC	14
com_hvac_ann_10	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Electric Backup	NaturalGas	Central Multi-zone VAV RTU_Boiler _District	14
com_hvac_ann_11	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Gas Backup	DistrictHeating	Central Single-zone RTU_District_DX	15
com_hvac_ann_11	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Gas Backup	DistrictHeating	Central Multi-zone VAV RTU_District_DX	15
com_hvac_ann_11	ng boiler+rtac&chiller	ng boiler+rtac&chiller to HP Boiler, Gas Backup	NaturalGas	Central Single-zone RTU_Boiler _Evaporative Cooling	15
