shape_ts	description	in.hvac_cool_type	in.hvac_category	in.hvac_heat_type	applicability	upgrade	shape_end_use	version
com_ventilation_1	Variable Speed HP RTU, Electric Backup	DX	Small Packaged Unit	Boiler 	TRUE	1	ventilation	4/24/25
com_ventilation_1	Variable Speed HP RTU, Electric Backup	DX	Small Packaged Unit	District	TRUE	1	ventilation	4/24/25
com_ventilation_1	Variable Speed HP RTU, Electric Backup	DX	Small Packaged Unit	Electric Resistance	TRUE	1	ventilation	4/24/25
com_ventilation_1	Variable Speed HP RTU, Electric Backup	DX	Small Packaged Unit	Furnace	TRUE	1	ventilation	4/24/25
com_ventilation_2	Variable Speed HP RTU, Original Heating Fuel Backup	DX	Small Packaged Unit	Boiler 	TRUE	2	ventilation	4/24/25
com_ventilation_2	Variable Speed HP RTU, Original Heating Fuel Backup	DX	Small Packaged Unit	District	TRUE	2	ventilation	4/24/25
com_ventilation_2	Variable Speed HP RTU, Original Heating Fuel Backup	DX	Small Packaged Unit	Electric Resistance	TRUE	2	ventilation	4/24/25
com_ventilation_2	Variable Speed HP RTU, Original Heating Fuel Backup	DX	Small Packaged Unit	Furnace	TRUE	2	ventilation	4/24/25
com_ventilation_3	Variable Speed HP RTU, Electric Backup, Energy Recovery	DX	Small Packaged Unit	Boiler 	TRUE	3	ventilation	4/24/25
com_ventilation_3	Variable Speed HP RTU, Electric Backup, Energy Recovery	DX	Small Packaged Unit	District	TRUE	3	ventilation	4/24/25
com_ventilation_3	Variable Speed HP RTU, Electric Backup, Energy Recovery	DX	Small Packaged Unit	Electric Resistance	TRUE	3	ventilation	4/24/25
com_ventilation_3	Variable Speed HP RTU, Electric Backup, Energy Recovery	DX	Small Packaged Unit	Furnace	TRUE	3	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	ACC	Multizone CAV/VAV	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	District	Multizone CAV/VAV	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	DX	Multizone CAV/VAV	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	WCC	Multizone CAV/VAV	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	DX	Small Packaged Unit	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	Evaporative Cooling	Small Packaged Unit	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	ACC	Zone-by-Zone	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	District	Zone-by-Zone	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	DX	Zone-by-Zone	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_4	Boiler + rtac&chiller	WCC	Zone-by-Zone	Boiler 	TRUE	0	ventilation	4/24/25
com_ventilation_5	Fossil furnace + rtac&chiller	ACC	Multizone CAV/VAV	District	TRUE	0	ventilation	4/24/25
com_ventilation_5	Fossil furnace + rtac&chiller	District	Multizone CAV/VAV	District	TRUE	0	ventilation	4/24/25
com_ventilation_5	Fossil furnace + rtac&chiller	DX	Multizone CAV/VAV	District	TRUE	0	ventilation	4/24/25
com_ventilation_5	Fossil furnace + rtac&chiller	DX	Multizone CAV/VAV	Furnace	TRUE	0	ventilation	4/24/25
com_ventilation_5	Fossil furnace + rtac&chiller	WCC	Multizone CAV/VAV	District	TRUE	0	ventilation	4/24/25
