tz	in.state	in.county
EST	IN	G1800970
CST	MN	G2700530
PST	CA	G0600950
CST	MN	G2700230
EST	NY	G3600850
EST	NY	G3600430
EST	FL	G1201010
CST	IL	G1700110
EST	PA	G4200330
PST	CA	G0600270
PST	CA	G0600350
EST	PA	G4200370
EST	WV	G5400990
MST	MT	G3000890
EST	NJ	G3400370
CST	MS	G2801210
CST	AL	G0101170
EST	OH	G3901670
EST	GA	G1302290
CST	KS	G2002070
PST	WA	G5300650
PST	WA	G5300450
EST	KY	G2101130
EST	NC	G3701650
CST	WI	G5500690
PST	CA	G0600470
CST	AR	G0501330
EST	OH	G3900210
CST	KS	G2001850
CST	AL	G0100610
CST	MS	G2801590
EST	VA	G5101410
CST	MO	G2902070
CST	IL	G1700870
CST	MO	G2900410
EST	MI	G2600330
CST	TX	G4804050
CST	TN	G4700270
EST	PA	G4201050
CST	TX	G4802550
CST	MO	G2902110
CST	ND	G3800190
CST	MS	G2800090
CST	AL	G0100990
CST	TX	G4804890
CST	IA	G1900410
EST	DE	G1000030
EST	MD	G2400030
CST	AL	G0101090
EST	MI	G2600890
MST	WY	G5600010
CST	TX	G4801890
CST	MN	G2701090
EST	NY	G3601050
MST_only	AZ	G0400030
CST	LA	G2201050
CST	IA	G1901550
EST	SC	G4500650
CST	IL	G1701430
EST	IN	G1800110
CST	AL	G0100170
CST	MS	G2800650
CST	IA	G1900990
EST	IN	G1800670
EST	VA	G5100670
CST	IA	G1900390
CST	TX	G4800370
EST	KY	G2100450
EST	NY	G3601230
EST	NC	G3700070
EST	TN	G4701510
CST	TN	G4701830
EST	KY	G2101590
EST	IN	G1801590
EST	MI	G2600610
CST	MO	G2901570
EST	FL	G1200370
EST	WV	G5400470
MST	WY	G5600050
MST	ID	G1600290
CST	MO	G2902190
PST	NV	G3200290
CST	TX	G4801610
EST	VA	G5105950
CST	MN	G2701730
CST	IA	G1901370
CST	KS	G2001630
EST	FL	G1200310
MST	NM	G3500570
EST	NC	G3700690
EST	MA	G2500090
EST	MI	G2601630
EST	FL	G1200510
CST	WI	G5501050
EST	MI	G2601490
MST_only	AZ	G0400250
PST	CA	G0600450
EST	MD	G2400190
EST	NY	G3600950
CST	LA	G2200710
EST	NH	G3300190
CST	NE	G3100410
CST	LA	G2200950
EST	FL	G1201210
EST	OH	G3901450
CST	KS	G2000990
EST	TN	G4701290
EST	FL	G1201070
EST	NH	G3300170
CST	OK	G4000090
EST	WV	G5400250
CST	LA	G2200670
CST	TN	G4700850
CST	TX	G4802250
EST	GA	G1302410
CST	TN	G4701370
CST	AL	G0100590
CST	SD	G4600130
CST	TN	G4700030
EST	OH	G3900310
MST	CO	G0800870
CST	TX	G4800350
CST	AL	G0100930
CST	IL	G1701070
CST	TX	G4802110
MST	MT	G3000210
CST	KS	G2000670
MST	MT	G3000330
EST	GA	G1300490
CST	KS	G2000110
CST	IL	G1700510
EST	KY	G2101530
CST	ND	G3800430
EST	KY	G2101030
CST	IL	G1700670
EST	CT	G0900110
EST	NY	G3600470
EST	RI	G4400070
EST	VA	G5101910
CST	MO	G2900210
EST	VA	G5100870
CST	MN	G2700950
EST	KY	G2101790
EST	KY	G2101650
CST	LA	G2200770
EST	MI	G2600270
EST	GA	G1300170
EST	VA	G5106600
EST	KY	G2101970
CST	KS	G2000570
MST	NM	G3500370
CST	MO	G2902130
CST	WI	G5500630
EST	PA	G4200730
EST	VA	G5101370
EST	KY	G2101670
EST	VA	G5100630
EST	KY	G2101210
CST	MS	G2800730
EST	OH	G3901590
CST	IL	G1700230
EST	GA	G1302910
CST	TX	G4803490
CST	AL	G0100090
EST	VA	G5108400
EST	GA	G1300810
CST	IA	G1900470
CST	AL	G0100790
CST	MO	G2901350
CST	SD	G4600030
MST	SD	G4601170
EST	VA	G5100110
CST	LA	G2201210
CST	NE	G3101590
CST	NE	G3101370
EST	IN	G1801430
CST	TX	G4802610
CST	MO	G2900430
PST	OR	G4100510
