group_ann	original	description	in.heating_fuel	in.hvac_cooling_type	upgrade	shape_ts_cooling	shape_ts_heating	version
res_hvac_ann_1	ER heating + AC	ER heating + AC	Electricity	Central AC	0	res_cooling_ts_1	res_heating_ts_1	7/19/24
res_hvac_ann_1	ER heating + AC	ER heating + AC	Electricity	Room AC	0	res_cooling_ts_1	res_heating_ts_1	7/19/24
res_hvac_ann_10	NG heating + AC	NG heating + AC	Natural Gas	Central AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_10	NG heating + AC	NG heating + AC	Natural Gas	Room AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_11	NG heating + AC	NG heating + AC to ES ASHP	Natural Gas	Central AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_11	NG heating + AC	NG heating + AC to ES ASHP	Natural Gas	Room AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_12	NG heating + AC	NG heating + AC to high eff ASHP	Natural Gas	Central AC	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_12	NG heating + AC	NG heating + AC to high eff ASHP	Natural Gas	Room AC	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_13	NG heating + AC	NG heating + AC to ultra high eff ASHP	Natural Gas	Central AC	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_13	NG heating + AC	NG heating + AC to ultra high eff ASHP	Natural Gas	Room AC	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_14	NG heating + AC	NG heating + AC to ES ASHP existing backup	Natural Gas	Central AC	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_14	NG heating + AC	NG heating + AC to ES ASHP existing backup	Natural Gas	Room AC	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_15	NG heating + AC	NG heating + AC to GSHP	Natural Gas	Central AC	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_15	NG heating + AC	NG heating + AC to GSHP	Natural Gas	Room AC	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_16	NG heating + AC	NG heating + AC to ES ASHP + light env	Natural Gas	Central AC	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_16	NG heating + AC	NG heating + AC to ES ASHP + light env	Natural Gas	Room AC	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_17	NG heating + AC	NG heating + AC to high eff ASHP + light env	Natural Gas	Central AC	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_17	NG heating + AC	NG heating + AC to high eff ASHP + light env	Natural Gas	Room AC	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_18	NG heating + AC	NG heating + AC to ultra high eff ASHP + light env	Natural Gas	Central AC	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
res_hvac_ann_18	NG heating + AC	NG heating + AC to ultra high eff ASHP + light env	Natural Gas	Room AC	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
res_hvac_ann_19	NG heating + AC	NG heating + AC to ES ASHP existing backup + light env	Natural Gas	Central AC	9	res_cooling_ts_8	res_heating_ts_11	7/19/24
res_hvac_ann_19	NG heating + AC	NG heating + AC to ES ASHP existing backup + light env	Natural Gas	Room AC	9	res_cooling_ts_8	res_heating_ts_11	7/19/24
res_hvac_ann_2	ER heating + AC	ER heating + AC to ES ASHP	Electricity	Central AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_2	ER heating + AC	ER heating + AC to ES ASHP	Electricity	Room AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_20	NG heating + AC	NG heating + AC to GSHP + light env	Natural Gas	Central AC	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
res_hvac_ann_20	NG heating + AC	NG heating + AC to GSHP + light env	Natural Gas	Room AC	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
res_hvac_ann_21	Other fossil heating + AC	Other fossil heating + AC	Other Fuel	Room AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_21	Other fossil heating + AC	Other fossil heating + AC	Propane	Room AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_21	Other fossil heating + AC	Other fossil heating + AC	Fuel Oil	Room AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_21	Other fossil heating + AC	Other fossil heating + AC	Other Fuel	Central AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_21	Other fossil heating + AC	Other fossil heating + AC	Propane	Central AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_21	Other fossil heating + AC	Other fossil heating + AC	Fuel Oil	Central AC	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_22	Other fossil heating + AC	Other fossil heating + AC to ES ASHP	Other Fuel	Room AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_22	Other fossil heating + AC	Other fossil heating + AC to ES ASHP	Propane	Room AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_22	Other fossil heating + AC	Other fossil heating + AC to ES ASHP	Fuel Oil	Room AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_22	Other fossil heating + AC	Other fossil heating + AC to ES ASHP	Other Fuel	Central AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_22	Other fossil heating + AC	Other fossil heating + AC to ES ASHP	Propane	Central AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_22	Other fossil heating + AC	Other fossil heating + AC to ES ASHP	Fuel Oil	Central AC	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_23	Other fossil heating + AC	Other fossil heating + AC to high eff ASHP	Other Fuel	Room AC	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_23	Other fossil heating + AC	Other fossil heating + AC to high eff ASHP	Propane	Room AC	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
