shape_ts	description	in.hvac_heating_type_and_fuel	upgrade	energy_source
res_heating_ts_1	ER heating	Electricity Baseboard	0	electricity
res_heating_ts_1	ER heating	Electricity Electric Boiler	0	electricity
res_heating_ts_1	ER heating	Electricity Electric Furnace	0	electricity
res_heating_ts_1	ER heating	Electricity Electric Wall Furnace	0	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Electricity ASHP	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Electricity Baseboard	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Electricity Electric Boiler	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Electricity Electric Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Electricity Electric Wall Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Electricity MSHP	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Electricity Shared Heating	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Fuel Oil Fuel Boiler	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Fuel Oil Fuel Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Fuel Oil Fuel Wall/Floor Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Fuel Oil Shared Heating	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Natural Gas Fuel Boiler	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Natural Gas Fuel Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Natural Gas Fuel Wall/Floor Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Natural Gas Shared Heating	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	None	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Other Fuel Fuel Boiler	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Other Fuel Fuel Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Other Fuel Fuel Wall/Floor Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Other Fuel Shared Heating	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Propane Fuel Boiler	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Propane Fuel Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Propane Fuel Wall/Floor Furnace	8	electricity
res_heating_ts_10	ultra high eff ASHP + light env heating	Propane Shared Heating	8	electricity
res_heating_ts_11	ES ASHP fossil backup + light env heating	Fuel Oil Fuel Boiler	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Fuel Oil Fuel Furnace	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Fuel Oil Fuel Wall/Floor Furnace	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Fuel Oil Shared Heating	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Natural Gas Fuel Boiler	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Natural Gas Fuel Furnace	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Natural Gas Fuel Wall/Floor Furnace	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Natural Gas Shared Heating	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	None	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Other Fuel Fuel Boiler	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Other Fuel Fuel Furnace	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Other Fuel Fuel Wall/Floor Furnace	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Other Fuel Shared Heating	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Propane Fuel Boiler	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Propane Fuel Furnace	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Propane Fuel Wall/Floor Furnace	9	combination
res_heating_ts_11	ES ASHP fossil backup + light env heating	Propane Shared Heating	9	combination
res_heating_ts_12	GSHP + light env heating	Electricity ASHP	10	electricity
res_heating_ts_12	GSHP + light env heating	Electricity Baseboard	10	electricity
res_heating_ts_12	GSHP + light env heating	Electricity Electric Boiler	10	electricity
res_heating_ts_12	GSHP + light env heating	Electricity Electric Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Electricity Electric Wall Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Electricity MSHP	10	electricity
res_heating_ts_12	GSHP + light env heating	Electricity Shared Heating	10	electricity
res_heating_ts_12	GSHP + light env heating	Fuel Oil Fuel Boiler	10	electricity
res_heating_ts_12	GSHP + light env heating	Fuel Oil Fuel Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Fuel Oil Fuel Wall/Floor Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Fuel Oil Shared Heating	10	electricity
res_heating_ts_12	GSHP + light env heating	Natural Gas Fuel Boiler	10	electricity
res_heating_ts_12	GSHP + light env heating	Natural Gas Fuel Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Natural Gas Fuel Wall/Floor Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Natural Gas Shared Heating	10	electricity
res_heating_ts_12	GSHP + light env heating	None	10	electricity
res_heating_ts_12	GSHP + light env heating	Other Fuel Fuel Boiler	10	electricity
res_heating_ts_12	GSHP + light env heating	Other Fuel Fuel Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Other Fuel Fuel Wall/Floor Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Other Fuel Shared Heating	10	electricity
res_heating_ts_12	GSHP + light env heating	Propane Fuel Boiler	10	electricity
res_heating_ts_12	GSHP + light env heating	Propane Fuel Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Propane Fuel Wall/Floor Furnace	10	electricity
res_heating_ts_12	GSHP + light env heating	Propane Shared Heating	10	electricity
res_heating_ts_13	ER heating + light env	Electricity Baseboard	16	electricity
res_heating_ts_13	ER heating + light env	Electricity Electric Boiler	16	electricity
res_heating_ts_13	ER heating + light env	Electricity Electric Furnace	16	electricity
res_heating_ts_13	ER heating + light env	Electricity Electric Wall Furnace	16	electricity
res_heating_ts_2	Fossil heating	Fuel Oil Fuel Boiler	0	fossil
res_heating_ts_2	Fossil heating	Fuel Oil Fuel Furnace	0	fossil
res_heating_ts_2	Fossil heating	Fuel Oil Fuel Wall/Floor Furnace	0	fossil
res_heating_ts_2	Fossil heating	Fuel Oil Shared Heating	0	fossil
res_heating_ts_2	Fossil heating	Natural Gas Fuel Boiler	0	fossil
res_heating_ts_2	Fossil heating	Natural Gas Fuel Furnace	0	fossil
res_heating_ts_2	Fossil heating	Natural Gas Fuel Wall/Floor Furnace	0	fossil
res_heating_ts_2	Fossil heating	Natural Gas Shared Heating	0	fossil
res_heating_ts_2	Fossil heating	None	0	fossil
res_heating_ts_2	Fossil heating	Other Fuel Fuel Boiler	0	fossil
res_heating_ts_2	Fossil heating	Other Fuel Fuel Furnace	0	fossil
res_heating_ts_2	Fossil heating	Other Fuel Fuel Wall/Floor Furnace	0	fossil
res_heating_ts_2	Fossil heating	Other Fuel Shared Heating	0	fossil
res_heating_ts_2	Fossil heating	Propane Fuel Boiler	0	fossil
res_heating_ts_2	Fossil heating	Propane Fuel Furnace	0	fossil
res_heating_ts_2	Fossil heating	Propane Fuel Wall/Floor Furnace	0	fossil
res_heating_ts_2	Fossil heating	Propane Shared Heating	0	fossil
res_heating_ts_3	ES ASHP heating	Electricity ASHP	1	electricity
res_heating_ts_3	ES ASHP heating	Electricity Baseboard	1	electricity
res_heating_ts_3	ES ASHP heating	Electricity Electric Boiler	1	electricity
res_heating_ts_3	ES ASHP heating	Electricity Electric Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Electricity Electric Wall Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Electricity MSHP	1	electricity
res_heating_ts_3	ES ASHP heating	Electricity Shared Heating	1	electricity
res_heating_ts_3	ES ASHP heating	Fuel Oil Fuel Boiler	1	electricity
res_heating_ts_3	ES ASHP heating	Fuel Oil Fuel Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Fuel Oil Fuel Wall/Floor Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Fuel Oil Shared Heating	1	electricity
res_heating_ts_3	ES ASHP heating	Natural Gas Fuel Boiler	1	electricity
res_heating_ts_3	ES ASHP heating	Natural Gas Fuel Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Natural Gas Fuel Wall/Floor Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Natural Gas Shared Heating	1	electricity
res_heating_ts_3	ES ASHP heating	None	1	electricity
res_heating_ts_3	ES ASHP heating	Other Fuel Fuel Boiler	1	electricity
res_heating_ts_3	ES ASHP heating	Other Fuel Fuel Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Other Fuel Fuel Wall/Floor Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Other Fuel Shared Heating	1	electricity
res_heating_ts_3	ES ASHP heating	Propane Fuel Boiler	1	electricity
res_heating_ts_3	ES ASHP heating	Propane Fuel Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Propane Fuel Wall/Floor Furnace	1	electricity
res_heating_ts_3	ES ASHP heating	Propane Shared Heating	1	electricity
res_heating_ts_4	high eff ASHP heating	Electricity ASHP	2	electricity
res_heating_ts_4	high eff ASHP heating	Electricity Baseboard	2	electricity
res_heating_ts_4	high eff ASHP heating	Electricity Electric Boiler	2	electricity
res_heating_ts_4	high eff ASHP heating	Electricity Electric Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Electricity Electric Wall Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Electricity MSHP	2	electricity
res_heating_ts_4	high eff ASHP heating	Electricity Shared Heating	2	electricity
res_heating_ts_4	high eff ASHP heating	Fuel Oil Fuel Boiler	2	electricity
res_heating_ts_4	high eff ASHP heating	Fuel Oil Fuel Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Fuel Oil Fuel Wall/Floor Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Fuel Oil Shared Heating	2	electricity
res_heating_ts_4	high eff ASHP heating	Natural Gas Fuel Boiler	2	electricity
res_heating_ts_4	high eff ASHP heating	Natural Gas Fuel Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Natural Gas Fuel Wall/Floor Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Natural Gas Shared Heating	2	electricity
res_heating_ts_4	high eff ASHP heating	None	2	electricity
res_heating_ts_4	high eff ASHP heating	Other Fuel Fuel Boiler	2	electricity
res_heating_ts_4	high eff ASHP heating	Other Fuel Fuel Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Other Fuel Fuel Wall/Floor Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Other Fuel Shared Heating	2	electricity
res_heating_ts_4	high eff ASHP heating	Propane Fuel Boiler	2	electricity
res_heating_ts_4	high eff ASHP heating	Propane Fuel Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Propane Fuel Wall/Floor Furnace	2	electricity
res_heating_ts_4	high eff ASHP heating	Propane Shared Heating	2	electricity
res_heating_ts_5	ultra high eff ASHP heating	Electricity ASHP	3	electricity
res_heating_ts_5	ultra high eff ASHP heating	Electricity Baseboard	3	electricity
res_heating_ts_5	ultra high eff ASHP heating	Electricity Electric Boiler	3	electricity
