in.census_division_name,Floor area (sf),year,Scout building type,N_bldgs_CDIV
New England,503167725,2019,Assembly,36909.99432
Middle Atlantic,1198269531,2019,Assembly,87899.36117
East North Central,2346238769,2019,Assembly,172108.9318
West North Central,993321350,2019,Assembly,72865.33609
South Atlantic,2917774170,2019,Assembly,214034.0541
East South Central,794483154,2019,Assembly,58279.51048
West South Central,1497570191,2019,Assembly,109854.6359
Mountain,928918090,2019,Assembly,68141.01884
Pacific,1452060913,2019,Assembly,106516.2915
New England,625865478,2019,Education,19235.05267
Middle Atlantic,1933779907,2019,Education,59431.87421
East North Central,2456495606,2019,Education,75496.77051
West North Central,1419560669,2019,Education,43628.10411
South Atlantic,2373668701,2019,Education,72951.2077
East South Central,828595887,2019,Education,25465.67288
West South Central,1840433715,2019,Education,56563.01663
Mountain,907289246,2019,Education,27884.19724
Pacific,1392204589,2019,Education,42787.35533
New England,84853111,2019,Food Sales ,28284.37033
Middle Atlantic,54970905,2019,Food Sales ,18323.635
East North Central,281082977,2019,Food Sales ,93694.32567
West North Central,122880783,2019,Food Sales ,40960.261
South Atlantic,85018906,2019,Food Sales ,28339.63533
East South Central,38258213,2019,Food Sales ,12752.73767
West South Central,127104736,2019,Food Sales ,42368.24533
Mountain,96206512,2019,Food Sales ,32068.83733
Pacific,117587967,2019,Food Sales ,39195.989
New England,60833923,2019,Food Services ,14117.57707
Middle Atlantic,77161263,2019,Food Services ,17906.62222
East North Central,216335403,2019,Food Services ,50204.41842
West North Central,63355075,2019,Food Services ,14702.65454
South Atlantic,262370483,2019,Food Services ,60887.66483
East South Central,108956665,2019,Food Services ,25285.302
West South Central,194792648,2019,Food Services ,45205.04489
Mountain,210717560,2019,Food Services ,48900.69958
Pacific,194403809,2019,Food Services ,45114.808
New England,91284050,2019,Health Care,3396.844789
Middle Atlantic,266680481,2019,Health Care,9923.663578
East North Central,578792359,2019,Health Care,21537.9117
West North Central,140956924,2019,Health Care,5245.262373
South Atlantic,388359711,2019,Health Care,14451.56805
East South Central,115284134,2019,Health Care,4289.931372
West South Central,235279449,2019,Health Care,8755.174319
Mountain,179717972,2019,Health Care,6687.631154
Pacific,334972931,2019,Health Care,12464.9493
New England,327826660,2019,Lodging,5672.559366
Middle Atlantic,901420776,2019,Lodging,15597.76397
East North Central,1088375977,2019,Lodging,18832.74942
West North Central,598656922,2019,Lodging,10358.87969
South Atlantic,1328248413,2019,Lodging,22983.38999
East South Central,332493591,2019,Lodging,5753.313759
West South Central,781835816,2019,Lodging,13528.52169
Mountain,708411438,2019,Lodging,12258.02056
Pacific,917994080,2019,Lodging,15884.54068
New England,323952148,2019,Office,18741.99244
Middle Atlantic,2060955566,2019,Office,119234.936
East North Central,1596502075,2019,Office,92364.35075
West North Central,713552551,2019,Office,41282.01217
South Atlantic,2337207520,2019,Office,135217.2719
East South Central,299412293,2019,Office,17322.25876
West South Central,1012995972,2019,Office,58606.07182
Mountain,897641297,2019,Office,51932.31935
Pacific,1424424438,2019,Office,82408.93668
New England,241195343,2019,Office,13954.16367
Middle Atlantic,979304383,2019,Office,56656.87188
East North Central,1481041382,2019,Office,85684.46469
West North Central,805950623,2019,Office,46627.62874
South Atlantic,1178615967,2019,Office,68187.88417
East South Central,373364837,2019,Office,21600.72405
West South Central,1044794677,2019,Office,60445.76046
Mountain,723506347,2019,Office,41857.88108
Pacific,975886414,2019,Office,56459.12802
New England,682608765,2019,Mercantile and Service,52391.80432
Middle Atlantic,2007531982,2019,Mercantile and Service,154082.7311
East North Central,3083358399,2019,Mercantile and Service,236654.9013
West North Central,1815172241,2019,Mercantile and Service,139318.6752
South Atlantic,2980570313,2019,Mercantile and Service,228765.6775
East South Central,1024025147,2019,Mercantile and Service,78596.3027
West South Central,2246591064,2019,Mercantile and Service,172431.0695
Mountain,1598563598,2019,Mercantile and Service,122693.46
Pacific,1814726684,2019,Mercantile and Service,139284.4777
New England,477293579,2019,Warehouse,27550.68004
Middle Atlantic,2012381958,2019,Warehouse,116160.1452
East North Central,3531360352,2019,Warehouse,203839.6984
West North Central,1429521729,2019,Warehouse,82515.87179
South Atlantic,3131210938,2019,Warehouse,180741.9888
East South Central,1297733154,2019,Warehouse,74908.67776
West South Central,2147240967,2019,Warehouse,123944.573
Mountain,1094088135,2019,Warehouse,63153.73487
Pacific,3018929443,2019,Warehouse,174260.7963
New England,375404846,2019,Other,27168.76065
Middle Atlantic,835777894,2019,Other,60486.83121
East North Central,962155884,2019,Other,69633.04602
West North Central,493202209,2019,Other,35693.9792
South Atlantic,1192978271,2019,Other,86338.09991
East South Central,272947449,2019,Other,19753.72452
West South Central,646284546,2019,Other,46772.83825
Mountain,345188507,2019,Other,24981.94689
Pacific,543806092,2019,Other,39356.27818
New England,503333160,2020,Assembly,36922.12985
Middle Atlantic,1197742310,2020,Assembly,87860.68674
East North Central,2350945557,2020,Assembly,172454.1994
West North Central,998511170,2020,Assembly,73246.03663
South Atlantic,2937888672,2020,Assembly,215509.5584
East South Central,796072448,2020,Assembly,58396.09354
West South Central,1511863037,2020,Assembly,110903.0912
Mountain,936297425,2020,Assembly,68682.33181
Pacific,1461152588,2020,Assembly,107183.2136
New England,630315064,2020,Education,19371.80413
Middle Atlantic,1939472290,2020,Education,59606.82121
East North Central,2473459717,2020,Education,76018.13744
West North Central,1437431641,2020,Education,44177.34209
South Atlantic,2401161133,2020,Education,73796.14707
East South Central,835706909,2020,Education,25684.21965
West South Central,1874635864,2020,Education,57614.16925
Mountain,920666565,2020,Education,28295.32941
Pacific,1409855957,2020,Education,43329.8441
New England,84879310,2020,Food Sales ,28293.10333
Middle Atlantic,54934162,2020,Food Sales ,18311.38733
East North Central,281170105,2020,Food Sales ,93723.36833
West North Central,123231339,2020,Food Sales ,41077.113
South Atlantic,85462052,2020,Food Sales ,28487.35067
East South Central,38360263,2020,Food Sales ,12786.75433
West South Central,127800324,2020,Food Sales ,42600.108
Mountain,96405494,2020,Food Sales ,32135.16467
Pacific,117690506,2020,Food Sales ,39230.16867
New England,60852707,2020,Food Services ,14121.93622
Middle Atlantic,77109688,2020,Food Services ,17894.65333
East North Central,216402450,2020,Food Services ,50219.97785
West North Central,63535816,2020,Food Services ,14744.59865
South Atlantic,263738037,2020,Food Services ,61205.02968
East South Central,109247299,2020,Food Services ,25352.74871
West South Central,195858657,2020,Food Services ,45452.43095
Mountain,211153381,2020,Food Services ,49001.83947
Pacific,194573333,2020,Food Services ,45154.14901
New England,92128616,2020,Health Care,3428.272619
Middle Atlantic,270553010,2020,Health Care,10067.76739
East North Central,586348145,2020,Health Care,21819.07618
West North Central,143464279,2020,Health Care,5338.565593
South Atlantic,395686584,2020,Health Care,14724.21426
East South Central,116234360,2020,Health Care,4325.291002
West South Central,239210586,2020,Health Care,8901.459045
Mountain,183797668,2020,Health Care,6839.44403
Pacific,338602844,2020,Health Care,12600.02494
New England,332582703,2020,Lodging,5754.855712
Middle Atlantic,915810791,2020,Lodging,15846.76206
East North Central,1105143310,2020,Lodging,19122.88352
West North Central,609544006,2020,Lodging,10547.2647
South Atlantic,1358335205,2020,Lodging,23503.99778
East South Central,337403229,2020,Lodging,5838.267841
West South Central,795810059,2020,Lodging,13770.32546
Mountain,721954589,2020,Lodging,12492.36491
Pacific,936555725,2020,Lodging,16205.72271
New England,324514710,2020,Office,18774.53902
Middle Atlantic,2065553711,2020,Office,119500.958
East North Central,1600938232,2020,Office,92621.00106
West North Central,719397705,2020,Office,41620.17889
South Atlantic,2362478027,2020,Office,136679.2769
East South Central,301134766,2020,Office,17421.91105
West South Central,1026424316,2020,Office,59382.95792
Mountain,908122986,2020,Office,52538.72908
Pacific,1436121216,2020,Office,83085.64441
New England,241753693,2020,Office,13986.46657
Middle Atlantic,982415466,2020,Office,56836.8611
East North Central,1486327637,2020,Office,85990.29675
West North Central,813147644,2020,Office,47044.00663
South Atlantic,1192089966,2020,Office,68967.41161
East South Central,375584198,2020,Office,21729.1234
West South Central,1058922119,2020,Office,61263.09232
Mountain,732568420,2020,Office,42382.16007
Pacific,984097229,2020,Office,56934.15815
New England,687821045,2020,Mercantile and Service,52791.85888
Middle Atlantic,2016639892,2020,Mercantile and Service,154781.7843
East North Central,3094094971,2020,Mercantile and Service,237478.958
West North Central,1830841797,2020,Mercantile and Service,140521.35
South Atlantic,3013477051,2020,Mercantile and Service,231291.3459
East South Central,1033383301,2020,Mercantile and Service,79314.5627
West South Central,2273215332,2020,Mercantile and Service,174474.5438
Mountain,1609795288,2020,Mercantile and Service,123555.5182
Pacific,1829010498,2020,Mercantile and Service,140380.7935
New England,484091217,2020,Warehouse,27943.05815
Middle Atlantic,2062814942,2020,Warehouse,119071.2739
East North Central,3595313721,2020,Warehouse,207531.2603
West North Central,1466167847,2020,Warehouse,84631.18512
South Atlantic,3226091553,2020,Warehouse,186218.7552
East South Central,1327187500,2020,Warehouse,76608.86251
West South Central,2217579834,2020,Warehouse,128004.7232
Mountain,1120976807,2020,Warehouse,64705.82196
Pacific,3075216064,2020,Warehouse,177509.8128
New England,381121307,2020,Other,27582.47177
Middle Atlantic,845919556,2020,Other,61220.80252
East North Central,971850830,2020,Other,70334.68764
West North Central,501431366,2020,Other,36289.5389
South Atlantic,1208729615,2020,Other,87478.05455
East South Central,275463990,2020,Other,19935.85136
West South Central,655492798,2020,Other,47439.25691
Mountain,348782471,2020,Other,25242.04888
Pacific,549262817,2020,Other,39751.19172
