in.census_division_name,in.comstock_building_type_group,in.state,sf,cdiv_share,Scout building type
East South Central,Healthcare,AL,47327767.42,0.188014024,Health Care
East South Central,Healthcare,KY,67029996.56,0.266282989,Health Care
East South Central,Healthcare,MS,40601846.13,0.161294667,Health Care
East South Central,Healthcare,TN,96765055.78,0.384408319,Health Care
East South Central,Office,AL,135314308.6,0.256043336,Office
East South Central,Office,KY,122495836.2,0.231788071,Office
East South Central,Office,MS,58385862.22,0.110478419,Office
East South Central,Office,TN,212286049.1,0.401690174,Office
East South Central,Lodging,AL,92444903.15,0.318711856,Lodging
East South Central,Lodging,KY,33813155.29,0.116573798,Lodging
East South Central,Lodging,MS,43982052.41,0.151631956,Lodging
East South Central,Lodging,TN,119817825.7,0.41308239,Lodging
East South Central,Mercantile,AL,168429085.7,0.278950224,Mercantile and Service
East South Central,Mercantile,KY,125449624.9,0.207768159,Mercantile and Service
East South Central,Mercantile,MS,81805755.67,0.135485708,Mercantile and Service
East South Central,Mercantile,TN,228111734.2,0.377795909,Mercantile and Service
East South Central,Warehouse and Storage,AL,244793596.3,0.208855112,Warehouse
East South Central,Warehouse and Storage,KY,313453793.3,0.267435211,Warehouse
East South Central,Warehouse and Storage,MS,133782961,0.114142101,Warehouse
East South Central,Warehouse and Storage,TN,480043409.1,0.409567576,Warehouse
East South Central,Education,AL,146899251.5,0.238730658,Education
East South Central,Education,KY,152031882.9,0.247071861,Education
East South Central,Education,MS,99000726.45,0.160889238,Education
East South Central,Education,TN,217402811.8,0.353308243,Education
East South Central,Food Service,AL,17365384.64,0.261394288,Food Services 
East South Central,Food Service,KY,14343240.23,0.215903139,Food Services 
East South Central,Food Service,MS,9079711.156,0.136673312,Food Services 
East South Central,Food Service,TN,25645344.71,0.386029261,Food Services 
Pacific,Healthcare,AK,3389667.088,0.005724504,Health Care
Pacific,Healthcare,CA,426584365.1,0.720420017,Health Care
Pacific,Healthcare,HI,16446982.93,0.027775832,Health Care
Pacific,Healthcare,OR,62890781.4,0.106210592,Health Care
Pacific,Healthcare,WA,82821063.77,0.139869055,Health Care
Pacific,Office,AK,24409878.63,0.013322932,Office
Pacific,Office,CA,1313537470,0.716929854,Office
Pacific,Office,HI,16939096,0.009245373,Office
Pacific,Office,OR,150866849.2,0.082343253,Office
Pacific,Office,WA,326416843.8,0.178158587,Office
Pacific,Lodging,AK,6634763.467,0.011049063,Lodging
Pacific,Lodging,CA,342298864.9,0.570040178,Lodging
Pacific,Lodging,HI,134771098.5,0.2244382,Lodging
Pacific,Lodging,OR,34252683.09,0.057041982,Lodging
Pacific,Lodging,WA,82524587.36,0.137430577,Lodging
Pacific,Mercantile,AK,11056714.93,0.008198691,Mercantile and Service
Pacific,Mercantile,CA,983957522.4,0.729616723,Mercantile and Service
Pacific,Mercantile,HI,36711200.14,0.027221811,Mercantile and Service
Pacific,Mercantile,OR,124599246.2,0.092391888,Mercantile and Service
Pacific,Mercantile,WA,192270396.1,0.142570887,Mercantile and Service
Pacific,Warehouse and Storage,AK,11742334.56,0.004265808,Warehouse
Pacific,Warehouse and Storage,CA,2219940721,0.806470054,Warehouse
Pacific,Warehouse and Storage,HI,32356583.26,0.011754645,Warehouse
