meas	meas_separated	component
(R) ES HP Pt. FS (Oth. Fs. Frn.) & Env.	(R) ES HP Pt. FS (Oth. Fs. Frn.) & Env.	equipment + env
(R) ES HP Pt. FS (NG Frn.) & Env.	(R) ES HP Pt. FS (NG Frn.) & Env.	equipment + env
(R) ES HP FS (Oth. Fs. Frn.) & Env.	(R) ES HP FS (Oth. Fs. Frn.) & Env.	equipment + env
(R) ES HP FS (NG Frn.) & Env.	(R) ES HP FS (NG Frn.) & Env.	equipment + env
(R) ES GSHP (Oth. Fs. Frn.) & Env.	(R) ES GSHP (Oth. Fs. Frn.) & Env.	equipment + env
(R) ES GSHP (NG Frn.) & Env.	(R) ES GSHP (NG Frn.) & Env.	equipment + env
(R) ES HP TS (Resist.) & Env.	(R) ES HP TS (Resist.) & Env.	equipment + env
(C) ES HP Pt. FS (RTU, Oth. Fs. Ht.) & Env.	(C) ES HP Pt. FS (RTU, Oth. Fs. Ht.) & Env.	equipment + env
(C) ES HP Pt. FS (RTU, NG Ht.) & Env.	(C) ES HP Pt. FS (RTU, NG Ht.) & Env.	equipment + env
(C) ES HP FS (RTU, Oth. Fs. Ht.) & Env.	(C) ES HP FS (RTU, Oth. Fs. Ht.) & Env.	equipment + env
(C) ES HP FS (RTU, NG Ht.) & Env.	(C) ES HP FS (RTU, NG Ht.) & Env.	equipment + env
(R) Bst. HP FS (Oth. Fs. Frn.) & Env.+	(R) Bst. HP FS (Oth. Fs. Frn.) & Env.+	equipment + env
(R) Bst. HP FS (NG Frn.) & Env.+	(R) Bst. HP FS (NG Frn.) & Env.+	equipment + env
(R) Bst. HP FS (NG Boiler) & Env.+	(R) Bst. HP FS (NG Boiler) & Env.+	equipment + env
(R) Bst. HP TS (Resist.) & Env.+	(R) Bst. HP TS (Resist.) & Env.+	equipment + env
(C) Bst. HP FS (RTU, Oth. Fs. Ht.) & Env.+	(C) Bst. HP FS (RTU, Oth. Fs. Ht.) & Env.+	equipment + env
