meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts	sector	original_desc	measure_desc	original_desc_simple	measure_desc_simple
(C) 90.1 Lighting	Lighting	com_light_ann_1	com_light_ann_1	com_light_ts_1	com_light_ts_1	com	Lighting	Lighting, 90.1	Lighting	Lighting, 90.1
(C) 90.1 Plug Loads	Computers and Electronics	com_misc_ann_1	com_misc_ann_1	com_misc_ts_1	com_misc_ts_1	com	Computers and electronics	Computers and electronics, 90.1	Computers and electronics	Computers and electronics, 90.1
(C) Best HP FS (NG Boiler)	Cooling (Equip.)	com_hvac_ann_9	com_hvac_ann_10	com_cooling_ts_9	com_cooling_ts_9	com	NG boiler + RTAC or chiller	Boiler, best HP	RTAC or chiller	Boiler, best HP
(C) Best HP FS (NG Boiler)	Heating (Equip.)	com_hvac_ann_9	com_hvac_ann_10	com_heating_ts_9	com_heating_ts_4	com	NG boiler + RTAC or chiller	Boiler, best HP	fossil	Boiler, best HP
(C) Best HP FS (NG Boiler)	Ventilation	com_hvac_ann_9	com_hvac_ann_10	com_ventilation_4	com_ventilation_4	com	NG boiler + RTAC or chiller	Boiler, best HP	RTAC or chiller	Boiler, best HP
(C) Best HP FS (NG Furnace & AC)	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	NG furnace + central or room AC	ASHP, best	AC	ASHP, best
(C) Best HP FS (NG Furnace & AC)	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_3	com	NG furnace + central or room AC	ASHP, best	fossil	ASHP, best
(C) Best HP FS (NG Furnace & AC)	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	NG furnace + central or room AC	ASHP, best	AC	ASHP, best
(C) Best HP FS (Other Fossil Boiler)	Cooling (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_cooling_ts_9	com_cooling_ts_9	com	Other fossil boiler + RTAC or chiller	Boiler, best HP	RTAC or chiller	Boiler, best HP
(C) Best HP FS (Other Fossil Boiler)	Heating (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_heating_ts_9	com_heating_ts_4	com	Other fossil boiler + RTAC or chiller	Boiler, best HP	fossil	Boiler, best HP
(C) Best HP FS (Other Fossil Boiler)	Ventilation	com_hvac_ann_22	com_hvac_ann_22	com_ventilation_4	com_ventilation_4	com	Other fossil boiler + RTAC or chiller	Boiler, best HP	RTAC or chiller	Boiler, best HP
