meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts	sector	original_desc	measure_desc	original_desc_simple	measure_desc_simple
(C) 90.1 Lighting	Lighting	com_light_ann_1	com_light_ann_1	com_light_ts_1	com_light_ts_1	com	Com lighting	90.1 lighting	Com lighting	90.1 lighting
(C) 90.1 Plug Loads	Computers and Electronics	com_misc_ann_1	com_misc_ann_1	com_misc_ts_1	com_misc_ts_1	com	Computers and Electronics	Computers and Electronics	Computers and Electronics	Computers and Electronics
(C) Best HP FS (NG Boiler)	Cooling (Equip.)	com_hvac_ann_9	com_hvac_ann_10	com_cooling_ts_9	com_cooling_ts_9	com	ng boiler+rtac or chiller	Best HP boiler	ng boiler+rtac or chiller	Best HP boiler
(C) Best HP FS (NG Boiler)	Heating (Equip.)	com_hvac_ann_9	com_hvac_ann_10	com_heating_ts_9	com_heating_ts_4	com	ng boiler+rtac or chiller	Best HP boiler	ng boiler+rtac or chiller	Best HP boiler
(C) Best HP FS (NG Boiler)	Ventilation	com_hvac_ann_9	com_hvac_ann_10	com_ventilation_4	com_ventilation_4	com	ng boiler+rtac or chiller	Best HP boiler	ng boiler+rtac or chiller	Best HP boiler
(C) Best HP FS (NG Furnace & AC)	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	ng furnace+cac&rac	Best HP	ng furnace+cac&rac	Best HP
(C) Best HP FS (NG Furnace & AC)	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_3	com	ng furnace+cac&rac	Best HP	ng furnace+cac&rac	Best HP
(C) Best HP FS (NG Furnace & AC)	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	ng furnace+cac&rac	Best HP	ng furnace+cac&rac	Best HP
(C) Best HP FS (Other Fossil Boiler)	Cooling (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_cooling_ts_9	com_cooling_ts_9	com	other fossil boiler+rtac or chiller	Best HP boiler	other fossil boiler+rtac or chiller	Best HP boiler
(C) Best HP FS (Other Fossil Boiler)	Heating (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_heating_ts_9	com_heating_ts_4	com	other fossil boiler+rtac or chiller	Best HP boiler	other fossil boiler+rtac or chiller	Best HP boiler
(C) Best HP FS (Other Fossil Boiler)	Ventilation	com_hvac_ann_22	com_hvac_ann_22	com_ventilation_4	com_ventilation_4	com	other fossil boiler+rtac or chiller	Best HP boiler	other fossil boiler+rtac or chiller	Best HP boiler
(C) Best HP FS (Other Fossil Furnace & AC)	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	other fossil furnace+cac&rac	Best HP	other fossil furnace+cac&rac	Best HP
(C) Best HP FS (Other Fossil Furnace & AC)	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_3	com	other fossil furnace+cac&rac	Best HP	other fossil furnace+cac&rac	Best HP
(C) Best HP FS (Other Fossil Furnace & AC)	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	other fossil furnace+cac&rac	Best HP	other fossil furnace+cac&rac	Best HP
