in.county,n,county_name
G0100010,94,"AL, Autauga County"
G0100030,444,"AL, Baldwin County"
G0100050,49,"AL, Barbour County"
G0100070,37,"AL, Bibb County"
G0100090,98,"AL, Blount County"
G0100110,18,"AL, Bullock County"
G0100130,41,"AL, Butler County"
G0100150,220,"AL, Calhoun County"
G0100170,70,"AL, Chambers County"
G0100190,67,"AL, Cherokee County"
G0100210,80,"AL, Chilton County"
G0100230,30,"AL, Choctaw County"
G0100250,52,"AL, Clarke County"
G0100270,28,"AL, Clay County"
G0100290,28,"AL, Cleburne County"
G0100310,94,"AL, Coffee County"
G0100330,108,"AL, Colbert County"
G0100350,29,"AL, Conecuh County"
G0100370,27,"AL, Coosa County"
G0100390,78,"AL, Covington County"
G0100410,28,"AL, Crenshaw County"
G0100430,153,"AL, Cullman County"
G0100450,94,"AL, Dale County"
G0100470,84,"AL, Dallas County"
G0100490,128,"AL, DeKalb County"
G0100510,138,"AL, Elmore County"
G0100530,68,"AL, Escambia County"
G0100550,196,"AL, Etowah County"
G0100570,35,"AL, Fayette County"
G0100590,58,"AL, Franklin County"
G0100610,52,"AL, Geneva County"
G0100630,21,"AL, Greene County"
G0100650,32,"AL, Hale County"
G0100670,37,"AL, Henry County"
G0100690,191,"AL, Houston County"
G0100710,102,"AL, Jackson County"
G0100730,1259,"AL, Jefferson County"
G0100750,30,"AL, Lamar County"
G0100770,183,"AL, Lauderdale County"
G0100790,63,"AL, Lawrence County"
G0100810,271,"AL, Lee County"
G0100830,147,"AL, Limestone County"
G0100850,21,"AL, Lowndes County"
G0100870,42,"AL, Macon County"
G0100890,638,"AL, Madison County"
G0100910,42,"AL, Marengo County"
G0100930,61,"AL, Marion County"
G0100950,167,"AL, Marshall County"
G0100970,750,"AL, Mobile County"
G0100990,47,"AL, Monroe County"
G0101010,426,"AL, Montgomery County"
G0101030,213,"AL, Morgan County"
G0101050,19,"AL, Perry County"
G0101070,39,"AL, Pickens County"
G0101090,65,"AL, Pike County"
G0101110,49,"AL, Randolph County"
G0101130,110,"AL, Russell County"
G0101150,148,"AL, St. Clair County"
G0101170,345,"AL, Shelby County"
G0101190,28,"AL, Sumter County"
G0101210,154,"AL, Talladega County"
G0101230,91,"AL, Tallapoosa County"
G0101250,363,"AL, Tuscaloosa County"
G0101270,127,"AL, Walker County"
G0101290,35,"AL, Washington County"
G0101310,23,"AL, Wilcox County"
G0101330,55,"AL, Winston County"
G0400010,135,"AZ, Apache County"
G0400030,249,"AZ, Cochise County"
G0400050,266,"AZ, Coconino County"
G0400070,137,"AZ, Gila County"
G0400090,55,"AZ, Graham County"
G0400110,18,"AZ, Greenlee County"
G0400120,67,"AZ, La Paz County"
G0400130,6938,"AZ, Maricopa County"
G0400150,462,"AZ, Mohave County"
G0400170,238,"AZ, Navajo County"
G0400190,1860,"AZ, Pima County"
G0400210,686,"AZ, Pinal County"
G0400230,75,"AZ, Santa Cruz County"
G0400250,465,"AZ, Yavapai County"
G0400270,372,"AZ, Yuma County"
G0500010,39,"AR, Arkansas County"
G0500030,42,"AR, Ashley County"
G0500050,93,"AR, Baxter County"
G0500070,405,"AR, Benton County"
G0500090,70,"AR, Boone County"
G0500110,24,"AR, Bradley County"
G0500130,12,"AR, Calhoun County"
G0500150,56,"AR, Carroll County"
G0500170,22,"AR, Chicot County"
G0500190,43,"AR, Clark County"
G0500210,33,"AR, Clay County"
G0500230,65,"AR, Cleburne County"
G0500250,17,"AR, Cleveland County"
G0500270,48,"AR, Columbia County"
G0500290,40,"AR, Conway County"
G0500310,179,"AR, Craighead County"
G0500330,108,"AR, Crawford County"
G0500350,89,"AR, Crittenden County"
G0500370,33,"AR, Cross County"
G0500390,18,"AR, Dallas County"
G0500410,26,"AR, Desha County"
G0500430,35,"AR, Drew County"
G0500450,201,"AR, Faulkner County"
G0500470,33,"AR, Franklin County"
G0500490,28,"AR, Fulton County"
G0500510,209,"AR, Garland County"
G0500530,32,"AR, Grant County"
G0500550,76,"AR, Greene County"
G0500570,43,"AR, Hempstead County"
G0500590,59,"AR, Hot Spring County"
G0500610,26,"AR, Howard County"
G0500630,67,"AR, Independence County"
G0500650,30,"AR, Izard County"
